"Relative Time (Process)","ts-bs128 - system/gpu.0.memoryAllocatedBytes","ts-bs128 - system/gpu.0.memoryAllocatedBytes__MIN","ts-bs128 - system/gpu.0.memoryAllocatedBytes__MAX","ts-bs64 - system/gpu.0.memoryAllocatedBytes","ts-bs64 - system/gpu.0.memoryAllocatedBytes__MIN","ts-bs64 - system/gpu.0.memoryAllocatedBytes__MAX","ts-bs32 - system/gpu.0.memoryAllocatedBytes","ts-bs32 - system/gpu.0.memoryAllocatedBytes__MIN","ts-bs32 - system/gpu.0.memoryAllocatedBytes__MAX","ts-bs256 - system/gpu.0.memoryAllocatedBytes","ts-bs256 - system/gpu.0.memoryAllocatedBytes__MIN","ts-bs256 - system/gpu.0.memoryAllocatedBytes__MAX","ts-bs16 - system/gpu.0.memoryAllocatedBytes","ts-bs16 - system/gpu.0.memoryAllocatedBytes__MIN","ts-bs16 - system/gpu.0.memoryAllocatedBytes__MAX","ts-bs512 - system/gpu.0.memoryAllocatedBytes","ts-bs512 - system/gpu.0.memoryAllocatedBytes__MIN","ts-bs512 - system/gpu.0.memoryAllocatedBytes__MAX","ts-bs8 - system/gpu.0.memoryAllocatedBytes","ts-bs8 - system/gpu.0.memoryAllocatedBytes__MIN","ts-bs8 - system/gpu.0.memoryAllocatedBytes__MAX","ts-bs768 - system/gpu.0.memoryAllocatedBytes","ts-bs768 - system/gpu.0.memoryAllocatedBytes__MIN","ts-bs768 - system/gpu.0.memoryAllocatedBytes__MAX","ts-bs4 - system/gpu.0.memoryAllocatedBytes","ts-bs4 - system/gpu.0.memoryAllocatedBytes__MIN","ts-bs4 - system/gpu.0.memoryAllocatedBytes__MAX","ts-bs2 - system/gpu.0.memoryAllocatedBytes","ts-bs2 - system/gpu.0.memoryAllocatedBytes__MIN","ts-bs2 - system/gpu.0.memoryAllocatedBytes__MAX","ts-bs1 - system/gpu.0.memoryAllocatedBytes","ts-bs1 - system/gpu.0.memoryAllocatedBytes__MIN","ts-bs1 - system/gpu.0.memoryAllocatedBytes__MAX"
"60.41426","","","","","","","","","","","","","","","","82991710208","82991710208","82991710208","","","","","","","","","","","","","","",""
"60.415134","","","","","","","","","","","","","","","","","","","","","","","","","2205220864","2205220864","2205220864","","","","","",""
"73.086093","","","","","","","6506479616","6506479616","6506479616","","","","","","","","","","","","","","","","","","","","","","","",""
"75.146535","","","","11279597568","11279597568","11279597568","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"75.166711","","","","","","","","","","","","","","","","","","","","","","","","","","","","2234580992","2234580992","2234580992","","",""
"75.168616","","","","","","","","","","42017554432","42017554432","42017554432","","","","","","","","","","","","","","","","","","","","",""
"75.173655","","","","","","","","","","","","","","","","","","","","","","116443381760","116443381760","116443381760","","","","","","","","",""
"75.207931","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2217803776","2217803776","2217803776"
"75.221272","","","","","","","","","","","","","3859873792","3859873792","3859873792","","","","","","","","","","","","","","","","","",""
"75.309471","21532573696","21532573696","21532573696","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"75.34187","","","","","","","","","","","","","","","","","","","2538668032","2538668032","2538668032","","","","","","","","","","","",""
"75.413769","","","","","","","","","","","","","","","","","","","","","","","","","2205220864","2205220864","2205220864","","","","","",""
"75.414704","","","","","","","","","","","","","","","","82991710208","82991710208","82991710208","","","","","","","","","","","","","","",""
"88.086189","","","","","","","6506479616","6506479616","6506479616","","","","","","","","","","","","","","","","","","","","","","","",""
"90.148105","","","","11279597568","11279597568","11279597568","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"90.168782","","","","","","","","","","42017554432","42017554432","42017554432","","","","","","","","","","","","","","","","","","","","",""
"90.17381","","","","","","","","","","","","","","","","","","","","","","116443381760","116443381760","116443381760","","","","","","","","",""
"90.208182","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2217803776","2217803776","2217803776"
"90.217374","","","","","","","","","","","","","","","","","","","","","","","","","","","","2234580992","2234580992","2234580992","","",""
"90.220187","","","","","","","","","","","","","3859873792","3859873792","3859873792","","","","","","","","","","","","","","","","","",""
"90.313399","21532573696","21532573696","21532573696","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"90.335726","","","","","","","","","","","","","","","","","","","2538668032","2538668032","2538668032","","","","","","","","","","","",""
"90.412324","","","","","","","","","","","","","","","","","","","","","","","","","2205220864","2205220864","2205220864","","","","","",""
"90.413505","","","","","","","","","","","","","","","","82991710208","82991710208","82991710208","","","","","","","","","","","","","","",""
"103.086082","","","","","","","6506479616","6506479616","6506479616","","","","","","","","","","","","","","","","","","","","","","","",""
"105.145802","","","","11279597568","11279597568","11279597568","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"105.166638","","","","","","","","","","","","","","","","","","","","","","","","","","","","2234580992","2234580992","2234580992","","",""
"105.168977","","","","","","","","","","42017554432","42017554432","42017554432","","","","","","","","","","","","","","","","","","","","",""
"105.17389","","","","","","","","","","","","","","","","","","","","","","116443381760","116443381760","116443381760","","","","","","","","",""
"105.207757","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2217803776","2217803776","2217803776"
"105.22046","","","","","","","","","","","","","3859873792","3859873792","3859873792","","","","","","","","","","","","","","","","","",""
"105.309589","21532573696","21532573696","21532573696","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"105.335684","","","","","","","","","","","","","","","","","","","2538668032","2538668032","2538668032","","","","","","","","","","","",""
"105.411304","","","","","","","","","","","","","","","","","","","","","","","","","2205220864","2205220864","2205220864","","","","","",""
"105.414156","","","","","","","","","","","","","","","","82991710208","82991710208","82991710208","","","","","","","","","","","","","","",""
"118.086139","","","","","","","6506479616","6506479616","6506479616","","","","","","","","","","","","","","","","","","","","","","","",""
"120.154439","","","","11279597568","11279597568","11279597568","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"120.166592","","","","","","","","","","","","","","","","","","","","","","","","","","","","2234580992","2234580992","2234580992","","",""
"120.168559","","","","","","","","","","42017554432","42017554432","42017554432","","","","","","","","","","","","","","","","","","","","",""
"120.173769","","","","","","","","","","","","","","","","","","","","","","116443381760","116443381760","116443381760","","","","","","","","",""
