"Step","baseline-ts-lr0.0003 - train/loss","baseline-ts-lr0.0003 - train/loss__MIN","baseline-ts-lr0.0003 - train/loss__MAX","baseline-ts-lr0.0003-wo_rmsnorm - train/loss","baseline-ts-lr0.0003-wo_rmsnorm - train/loss__MIN","baseline-ts-lr0.0003-wo_rmsnorm - train/loss__MAX"
"0","9.257588386535645","9.257588386535645","9.257588386535645","16.20690155029297","16.20690155029297","16.20690155029297"
"10","9.23703670501709","9.23703670501709","9.23703670501709","15.49212646484375","15.49212646484375","15.49212646484375"
"20","9.180542945861816","9.180542945861816","9.180542945861816","14.424627304077148","14.424627304077148","14.424627304077148"
"30","9.078337669372559","9.078337669372559","9.078337669372559","12.948073387145996","12.948073387145996","12.948073387145996"
"40","8.933086395263672","8.933086395263672","8.933086395263672","12.138429641723633","12.138429641723633","12.138429641723633"
"50","8.762567520141602","8.762567520141602","8.762567520141602","11.600479125976562","11.600479125976562","11.600479125976562"
"60","8.528888702392578","8.528888702392578","8.528888702392578","10.767555236816406","10.767555236816406","10.767555236816406"
"70","8.279902458190918","8.279902458190918","8.279902458190918","10.376392364501953","10.376392364501953","10.376392364501953"
"80","8.022825241088867","8.022825241088867","8.022825241088867","10.01467514038086","10.01467514038086","10.01467514038086"
"90","7.7928266525268555","7.7928266525268555","7.7928266525268555","9.299519538879395","9.299519538879395","9.299519538879395"
"100","7.552985191345215","7.552985191345215","7.552985191345215","8.409910202026367","8.409910202026367","8.409910202026367"
"110","7.307077884674072","7.307077884674072","7.307077884674072","7.73775053024292","7.73775053024292","7.73775053024292"
"120","7.032231330871582","7.032231330871582","7.032231330871582","6.890927791595459","6.890927791595459","6.890927791595459"
"130","6.777343273162842","6.777343273162842","6.777343273162842","6.356224060058594","6.356224060058594","6.356224060058594"
"140","6.522206783294678","6.522206783294678","6.522206783294678","5.916046619415283","5.916046619415283","5.916046619415283"
"150","6.256053924560547","6.256053924560547","6.256053924560547","5.64654541015625","5.64654541015625","5.64654541015625"
"160","5.998499870300293","5.998499870300293","5.998499870300293","5.4132490158081055","5.4132490158081055","5.4132490158081055"
"170","5.798151969909668","5.798151969909668","5.798151969909668","5.177478790283203","5.177478790283203","5.177478790283203"
"180","5.522822856903076","5.522822856903076","5.522822856903076","5.0242109298706055","5.0242109298706055","5.0242109298706055"
"190","5.298458576202393","5.298458576202393","5.298458576202393","4.82506799697876","4.82506799697876","4.82506799697876"
"200","5.1916351318359375","5.1916351318359375","5.1916351318359375","4.7414140701293945","4.7414140701293945","4.7414140701293945"
