"Step","baseline-ts-lr0.001 - train/loss","baseline-ts-lr0.001 - train/loss__MIN","baseline-ts-lr0.001 - train/loss__MAX","baseline-ts-lr0.001-wo_rmsnorm - train/loss","baseline-ts-lr0.001-wo_rmsnorm - train/loss__MIN","baseline-ts-lr0.001-wo_rmsnorm - train/loss__MAX"
"0","9.258490562438965","9.258490562438965","9.258490562438965","16.321311950683594","16.321311950683594","16.321311950683594"
"10","9.187612533569336","9.187612533569336","9.187612533569336","14.971085548400879","14.971085548400879","14.971085548400879"
"20","9.00339126586914","9.00339126586914","9.00339126586914","12.469538688659668","12.469538688659668","12.469538688659668"
"30","8.677218437194824","8.677218437194824","8.677218437194824","11.431794166564941","11.431794166564941","11.431794166564941"
"40","8.268335342407227","8.268335342407227","8.268335342407227","10.166753768920898","10.166753768920898","10.166753768920898"
"50","7.827849388122559","7.827849388122559","7.827849388122559","9.313362121582031","9.313362121582031","9.313362121582031"
"60","7.409239768981934","7.409239768981934","7.409239768981934","8.207209587097168","8.207209587097168","8.207209587097168"
"70","6.9145307540893555","6.9145307540893555","6.9145307540893555","7.078081130981445","7.078081130981445","7.078081130981445"
"80","6.462466239929199","6.462466239929199","6.462466239929199","6.207568168640137","6.207568168640137","6.207568168640137"
"90","6.022262096405029","6.022262096405029","6.022262096405029","5.6606597900390625","5.6606597900390625","5.6606597900390625"
"100","5.613915920257568","5.613915920257568","5.613915920257568","5.3470139503479","5.3470139503479","5.3470139503479"
"110","5.252622604370117","5.252622604370117","5.252622604370117","5.052411079406738","5.052411079406738","5.052411079406738"
"120","5.032471656799316","5.032471656799316","5.032471656799316","4.725368499755859","4.725368499755859","4.725368499755859"
"130","4.780405044555664","4.780405044555664","4.780405044555664","4.587708950042725","4.587708950042725","4.587708950042725"
"140","4.466839790344238","4.466839790344238","4.466839790344238","4.444653511047363","4.444653511047363","4.444653511047363"
"150","4.340666770935059","4.340666770935059","4.340666770935059","4.235020637512207","4.235020637512207","4.235020637512207"
"160","4.163624286651611","4.163624286651611","4.163624286651611","4.146151542663574","4.146151542663574","4.146151542663574"
"170","4.0202741622924805","4.0202741622924805","4.0202741622924805","3.9849164485931396","3.9849164485931396","3.9849164485931396"
"180","3.8741698265075684","3.8741698265075684","3.8741698265075684","3.9154553413391113","3.9154553413391113","3.9154553413391113"
"190","3.6994266510009766","3.6994266510009766","3.6994266510009766","3.7939164638519287","3.7939164638519287","3.7939164638519287"
"200","3.6528067588806152","3.6528067588806152","3.6528067588806152","3.7449445724487305","3.7449445724487305","3.7449445724487305"
"210","3.588315010070801","3.588315010070801","3.588315010070801","3.638700485229492","3.638700485229492","3.638700485229492"
"220","3.5127506256103516","3.5127506256103516","3.5127506256103516","3.569978713989258","3.569978713989258","3.569978713989258"
"230","3.3976891040802","3.3976891040802","3.3976891040802","3.5000414848327637","3.5000414848327637","3.5000414848327637"
"240","3.3838582038879395","3.3838582038879395","3.3838582038879395","3.4379019737243652","3.4379019737243652","3.4379019737243652"
"250","3.3167028427124023","3.3167028427124023","3.3167028427124023","3.4311025142669678","3.4311025142669678","3.4311025142669678"
"260","3.2372965812683105","3.2372965812683105","3.2372965812683105","3.288123369216919","3.288123369216919","3.288123369216919"
"270","3.1901674270629883","3.1901674270629883","3.1901674270629883","3.2505829334259033","3.2505829334259033","3.2505829334259033"
"280","3.2158749103546143","3.2158749103546143","3.2158749103546143","3.1788671016693115","3.1788671016693115","3.1788671016693115"
"290","3.08211088180542","3.08211088180542","3.08211088180542","3.190605640411377","3.190605640411377","3.190605640411377"
"300","3.047703266143799","3.047703266143799","3.047703266143799","3.1793580055236816","3.1793580055236816","3.1793580055236816"
"310","3.0802998542785645","3.0802998542785645","3.0802998542785645","3.1081204414367676","3.1081204414367676","3.1081204414367676"
"320","3.0573132038116455","3.0573132038116455","3.0573132038116455","3.0243496894836426","3.0243496894836426","3.0243496894836426"
"330","2.950838565826416","2.950838565826416","2.950838565826416","3.032424211502075","3.032424211502075","3.032424211502075"
"340","2.901372194290161","2.901372194290161","2.901372194290161","2.9384121894836426","2.9384121894836426","2.9384121894836426"
"350","2.9040558338165283","2.9040558338165283","2.9040558338165283","2.9234800338745117","2.9234800338745117","2.9234800338745117"
"360","2.8338496685028076","2.8338496685028076","2.8338496685028076","2.9350829124450684","2.9350829124450684","2.9350829124450684"
"370","2.7504537105560303","2.7504537105560303","2.7504537105560303","2.8293967247009277","2.8293967247009277","2.8293967247009277"
"380","2.8786730766296387","2.8786730766296387","2.8786730766296387","2.914909839630127","2.914909839630127","2.914909839630127"
"390","2.8159120082855225","2.8159120082855225","2.8159120082855225","2.8443546295166016","2.8443546295166016","2.8443546295166016"
"400","2.730318784713745","2.730318784713745","2.730318784713745","2.8114914894104004","2.8114914894104004","2.8114914894104004"
"410","2.680948257446289","2.680948257446289","2.680948257446289","2.7896900177001953","2.7896900177001953","2.7896900177001953"
"420","2.733696937561035","2.733696937561035","2.733696937561035","2.8219640254974365","2.8219640254974365","2.8219640254974365"
"430","2.6447670459747314","2.6447670459747314","2.6447670459747314","2.6815590858459473","2.6815590858459473","2.6815590858459473"
"440","2.6402692794799805","2.6402692794799805","2.6402692794799805","2.731438636779785","2.731438636779785","2.731438636779785"
"450","2.5980224609375","2.5980224609375","2.5980224609375","2.7822463512420654","2.7822463512420654","2.7822463512420654"
"460","2.6421544551849365","2.6421544551849365","2.6421544551849365","2.73016619682312","2.73016619682312","2.73016619682312"
"470","2.573113441467285","2.573113441467285","2.573113441467285","2.638774871826172","2.638774871826172","2.638774871826172"
"480","2.661083698272705","2.661083698272705","2.661083698272705","2.6584744453430176","2.6584744453430176","2.6584744453430176"
"490","2.561648368835449","2.561648368835449","2.561648368835449","2.5820837020874023","2.5820837020874023","2.5820837020874023"
"500","2.497792959213257","2.497792959213257","2.497792959213257","2.6768112182617188","2.6768112182617188","2.6768112182617188"
"510","2.561523914337158","2.561523914337158","2.561523914337158","2.569815158843994","2.569815158843994","2.569815158843994"
"520","2.4552388191223145","2.4552388191223145","2.4552388191223145","2.600217342376709","2.600217342376709","2.600217342376709"
"530","2.433736801147461","2.433736801147461","2.433736801147461","2.4957685470581055","2.4957685470581055","2.4957685470581055"
"540","2.4654147624969482","2.4654147624969482","2.4654147624969482","2.5559802055358887","2.5559802055358887","2.5559802055358887"
"550","2.3402822017669678","2.3402822017669678","2.3402822017669678","2.521263599395752","2.521263599395752","2.521263599395752"
"560","2.5223891735076904","2.5223891735076904","2.5223891735076904","2.5090081691741943","2.5090081691741943","2.5090081691741943"
"570","2.4267587661743164","2.4267587661743164","2.4267587661743164","2.4805285930633545","2.4805285930633545","2.4805285930633545"
