"Step","leaderboard-qknorm-muon-betas1-gpt2-tie-embed-ws2000 - train/loss","leaderboard-qknorm-muon-betas1-gpt2-tie-embed-ws2000 - train/loss__MIN","leaderboard-qknorm-muon-betas1-gpt2-tie-embed-ws2000 - train/loss__MAX"
"0","10.401321411132812","10.401321411132812","10.401321411132812"
"10","10.360300064086914","10.360300064086914","10.360300064086914"
"20","10.185644149780273","10.185644149780273","10.185644149780273"
"30","9.674060821533203","9.674060821533203","9.674060821533203"
"40","8.90341854095459","8.90341854095459","8.90341854095459"
"50","8.05927848815918","8.05927848815918","8.05927848815918"
"60","7.548002243041992","7.548002243041992","7.548002243041992"
"70","7.755161285400391","7.755161285400391","7.755161285400391"
"80","7.55606746673584","7.55606746673584","7.55606746673584"
"90","7.6073174476623535","7.6073174476623535","7.6073174476623535"
"100","7.5409746170043945","7.5409746170043945","7.5409746170043945"
"110","7.438632965087891","7.438632965087891","7.438632965087891"
"120","7.386887550354004","7.386887550354004","7.386887550354004"
"130","7.153919219970703","7.153919219970703","7.153919219970703"
"140","6.936178684234619","6.936178684234619","6.936178684234619"
"150","6.698301315307617","6.698301315307617","6.698301315307617"
"160","6.537422180175781","6.537422180175781","6.537422180175781"
"170","6.417348861694336","6.417348861694336","6.417348861694336"
"180","6.302408218383789","6.302408218383789","6.302408218383789"
"190","6.1869707107543945","6.1869707107543945","6.1869707107543945"
"200","6.171624183654785","6.171624183654785","6.171624183654785"
"210","5.976256370544434","5.976256370544434","5.976256370544434"
"220","5.961513519287109","5.961513519287109","5.961513519287109"
"230","5.872930526733398","5.872930526733398","5.872930526733398"
"240","5.822609901428223","5.822609901428223","5.822609901428223"
"250","5.747629165649414","5.747629165649414","5.747629165649414"
"260","5.702152252197266","5.702152252197266","5.702152252197266"
"270","5.667754173278809","5.667754173278809","5.667754173278809"
"280","5.644810199737549","5.644810199737549","5.644810199737549"
"290","5.511329650878906","5.511329650878906","5.511329650878906"
"300","5.56010627746582","5.56010627746582","5.56010627746582"
"310","5.451712608337402","5.451712608337402","5.451712608337402"
"320","5.45532751083374","5.45532751083374","5.45532751083374"
"330","5.442116737365723","5.442116737365723","5.442116737365723"
"340","5.369319438934326","5.369319438934326","5.369319438934326"
"350","5.376043319702148","5.376043319702148","5.376043319702148"
"360","5.385837078094482","5.385837078094482","5.385837078094482"
"370","5.315643310546875","5.315643310546875","5.315643310546875"
"380","5.309001922607422","5.309001922607422","5.309001922607422"
"390","5.221902847290039","5.221902847290039","5.221902847290039"
"400","5.205967903137207","5.205967903137207","5.205967903137207"
"410","5.2350921630859375","5.2350921630859375","5.2350921630859375"
"420","5.193434715270996","5.193434715270996","5.193434715270996"
"430","5.121902942657471","5.121902942657471","5.121902942657471"
"440","5.20181131362915","5.20181131362915","5.20181131362915"
"450","5.159022331237793","5.159022331237793","5.159022331237793"
"460","5.151908874511719","5.151908874511719","5.151908874511719"
"470","5.090063095092773","5.090063095092773","5.090063095092773"
"480","5.048518657684326","5.048518657684326","5.048518657684326"
"490","5.035231590270996","5.035231590270996","5.035231590270996"
"500","4.996750831604004","4.996750831604004","4.996750831604004"
