"Step","owt-lr0.01 - train/loss","owt-lr0.01 - train/loss__MIN","owt-lr0.01 - train/loss__MAX","owt-lr0.006 - train/loss","owt-lr0.006 - train/loss__MIN","owt-lr0.006 - train/loss__MAX","owt-lr0.003 - train/loss","owt-lr0.003 - train/loss__MIN","owt-lr0.003 - train/loss__MAX","owt-lr0.001 - train/loss","owt-lr0.001 - train/loss__MIN","owt-lr0.001 - train/loss__MAX","owt-lr0.0003 - train/loss","owt-lr0.0003 - train/loss__MIN","owt-lr0.0003 - train/loss__MAX","owt-lr0.0001 - train/loss","owt-lr0.0001 - train/loss__MIN","owt-lr0.0001 - train/loss__MAX","owt-lr3e-05 - train/loss","owt-lr3e-05 - train/loss__MIN","owt-lr3e-05 - train/loss__MAX","owt-lr0.03 - train/loss","owt-lr0.03 - train/loss__MIN","owt-lr0.03 - train/loss__MAX","owt-lr1e-05 - train/loss","owt-lr1e-05 - train/loss__MIN","owt-lr1e-05 - train/loss__MAX"
"0","10.393138885498047","10.393138885498047","10.393138885498047","10.392818450927734","10.392818450927734","10.392818450927734","10.392732620239258","10.392732620239258","10.392732620239258","10.392265319824219","10.392265319824219","10.392265319824219","10.391557693481445","10.391557693481445","10.391557693481445","10.393033981323242","10.393033981323242","10.393033981323242","10.392990112304688","10.392990112304688","10.392990112304688","10.392556190490723","10.392556190490723","10.392556190490723","10.393780708312988","10.393780708312988","10.393780708312988"
"10","10.203935623168945","10.203935623168945","10.203935623168945","10.276488304138184","10.276488304138184","10.276488304138184","10.335851669311523","10.335851669311523","10.335851669311523","10.374425888061523","10.374425888061523","10.374425888061523","10.387831687927246","10.387831687927246","10.387831687927246","10.392045021057129","10.392045021057129","10.392045021057129","10.39140796661377","10.39140796661377","10.39140796661377","9.761589050292969","9.761589050292969","9.761589050292969","10.394451141357422","10.394451141357422","10.394451141357422"
"20","9.451786994934082","9.451786994934082","9.451786994934082","9.830352783203125","9.830352783203125","9.830352783203125","10.139171600341797","10.139171600341797","10.139171600341797","10.309829711914062","10.309829711914062","10.309829711914062","10.367667198181152","10.367667198181152","10.367667198181152","10.384686470031738","10.384686470031738","10.384686470031738","10.389411926269531","10.389411926269531","10.389411926269531","8.138055801391602","8.138055801391602","8.138055801391602","10.391737937927246","10.391737937927246","10.391737937927246"
"30","8.461835861206055","8.461835861206055","8.461835861206055","9.089022636413574","9.089022636413574","9.089022636413574","9.69219970703125","9.69219970703125","9.69219970703125","10.200669288635254","10.200669288635254","10.200669288635254","10.336324691772461","10.336324691772461","10.336324691772461","10.375345230102539","10.375345230102539","10.375345230102539","10.385584831237793","10.385584831237793","10.385584831237793","7.465029716491699","7.465029716491699","7.465029716491699","10.393301010131836","10.393301010131836","10.393301010131836"
"40","7.6446967124938965","7.6446967124938965","7.6446967124938965","8.264602661132812","8.264602661132812","8.264602661132812","9.169212341308594","9.169212341308594","9.169212341308594","9.991260528564453","9.991260528564453","9.991260528564453","10.29324722290039","10.29324722290039","10.29324722290039","10.360352516174316","10.360352516174316","10.360352516174316","10.380102157592773","10.380102157592773","10.380102157592773","7.2146100997924805","7.2146100997924805","7.2146100997924805","10.39023494720459","10.39023494720459","10.39023494720459"
"50","7.320466995239258","7.320466995239258","7.320466995239258","7.695913314819336","7.695913314819336","7.695913314819336","8.584091186523438","8.584091186523438","8.584091186523438","9.714953422546387","9.714953422546387","9.714953422546387","10.229496955871582","10.229496955871582","10.229496955871582","10.341269493103027","10.341269493103027","10.341269493103027","10.376943588256836","10.376943588256836","10.376943588256836","7.094961166381836","7.094961166381836","7.094961166381836","10.389074325561523","10.389074325561523","10.389074325561523"
"60","7.193023681640625","7.193023681640625","7.193023681640625","7.444930553436279","7.444930553436279","7.444930553436279","8.006082534790039","8.006082534790039","8.006082534790039","9.373302459716797","9.373302459716797","9.373302459716797","10.147481918334961","10.147481918334961","10.147481918334961","10.319242477416992","10.319242477416992","10.319242477416992","10.371129035949707","10.371129035949707","10.371129035949707","6.8563666343688965","6.8563666343688965","6.8563666343688965","10.385026931762695","10.385026931762695","10.385026931762695"
"70","6.938838005065918","6.938838005065918","6.938838005065918","7.2695207595825195","7.2695207595825195","7.2695207595825195","7.661243438720703","7.661243438720703","7.661243438720703","9.050503730773926","9.050503730773926","9.050503730773926","10.012117385864258","10.012117385864258","10.012117385864258","10.285615921020508","10.285615921020508","10.285615921020508","10.361039161682129","10.361039161682129","10.361039161682129","6.702381610870361","6.702381610870361","6.702381610870361","10.384220123291016","10.384220123291016","10.384220123291016"
"80","6.768847465515137","6.768847465515137","6.768847465515137","7.152320384979248","7.152320384979248","7.152320384979248","7.3974199295043945","7.3974199295043945","7.3974199295043945","8.72435188293457","8.72435188293457","8.72435188293457","9.842033386230469","9.842033386230469","9.842033386230469","10.253467559814453","10.253467559814453","10.253467559814453","10.35226058959961","10.35226058959961","10.35226058959961","6.583311080932617","6.583311080932617","6.583311080932617","10.380155563354492","10.380155563354492","10.380155563354492"
"90","6.633080959320068","6.633080959320068","6.633080959320068","6.89399528503418","6.89399528503418","6.89399528503418","7.228487491607666","7.228487491607666","7.228487491607666","8.405508995056152","8.405508995056152","8.405508995056152","9.682411193847656","9.682411193847656","9.682411193847656","10.20826530456543","10.20826530456543","10.20826530456543","10.339781761169434","10.339781761169434","10.339781761169434","6.548260688781738","6.548260688781738","6.548260688781738","10.377365112304688","10.377365112304688","10.377365112304688"
